car_model,price,year_model,kms,color,fueltype
Renault Logan 1.4 Entry Familier Fii,$25.500.000,2013,120.000,Gris,Gasolina
Renault Logan Familier ,$23.500.000,2011,112.000,Gris,Gasolina
Renault Logan 1.4 Dynamique,$20.900.000,2007,92.000,Plateado,Gasolina
Renault Logan 1.4 Expression,$19.800.000,2006,145.000,Color not found,Gasolina
Renault Logan Privilege/intense,$57.800.000,2022,32.000,Gris,Gasolina
Renault Logan 2012 Dynamique Full Equipo,$24.800.000,2012,138.000,Rojo,Gasolina
Renault Logan EXPRESSION 1.6,$22.890.000,2011,117.000,Rojo,Gasolina
Renault Logan Life +,$37.000.000,2017,23.000,Gris,Gasolina
Renault Logan 1.6 Intens,$70.000.000,2024,6.300,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$33.800.000,2016,96.000,Color not found,Gasolina
Renault Logan Privilege 2016,$33.800.000,2016,71.246,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.490.000,2012,87.000,Dorado,Gasolina
Renault Logan 1.6 Expression / Life +,$44.000.000,2022,44.000,Plateado,Gasolina
Renault Logan At,$47.500.000,2022,24.000,Gris,Gasolina
Renault Logan Fleet At,$47.500.000,2022,25.700,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.416,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$46.500.000,2022,40.208,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$38.500.000,2019,44.400,Gris,Gasolina
Renault Logan Life+,$47.000.000,2021,39.000,Gris,Gasolina
Renault Logan EXPRESSION 1.6,$32.000.000,2018,106.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$27.900.000,2011,76.500,Negro,Gasolina
Renault Logan 1.6 Life,$45.000.000,2019,68.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.000.000,2020,44.906,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$51.500.000,2021,36.000,Gris,Gasolina
Renault Logan 1.6 Life,$39.900.000,2021,63.000,Blanco,Gasolina y gas
Renault Logan 1.6 Authentique / Life,$32.500.000,2017,56.000,Gris,Gasolina
Renault Logan 1.6 Life Plus,$67.800.000,2024,4.800,Blanco,Gasolina
Renault Logan Logan Life,$43.000.000,2021,91.529,Gris,Gasolina
Logan Life 8v Fl 2021,$41.500.000,2021,32.000,Rojo,Gasolina
Renault Logan 1.4 Entry Familier,$24.000.000,2011,208.026,Negro,Gasolina
Renault Logan 1.6 Dynamique Fii,$22.500.000,2011,175.000,Azul,Gasolina
Renault Logan 1.4 Dynamique,$18.700.000,2006,126.900,Plateado,Gasolina
Renault Logan 1.6 Expression,$19.000.000,2006,167.237,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2011,120.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$29.500.000,2016,184.000,Rojo,Gasolina
Renault Logan 1.6 Privilege / Intens,$36.000.000,2017,55.029,Plateado,Gasolina
Renault Logan 1.4 Dynamique,$17.490.000,2006,242.000,Verde,Gasolina
Renault Logan 1.6 Authentique,$42.500.000,2022,68.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$40.500.000,2020,61.000,Gris,Gasolina
Renault Logan Privilege 1.6,$38.000.000,2017,78.000,Negro,Gasolina
Renault Logan DYNAMIQUE FULL EQUIPO A/A,$27.490.000,2011,117.000,Rojo,Gasolina
Renault Logan Polar 2020,$39.000.000,2020,7.500,Rojo,Gasolina
Renault Logan 1.6 Life,$35.800.000,2018,99.000,Dorado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.500.000,2013,139.680,Negro,Gasolina
Renault Logan 1.6 Expression Nd,$19.200.000,2010,181.000,Blanco,Gasolina
Renault Logan 1.4 Entry Familier,$24.500.000,2011,84.000,Rojo,Gasolina
Renault Logan 1.6 Dynamique Fii,$26.900.000,2014,108.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.000.000,2013,103.954,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$27.800.000,2015,86.000,Color not found,Gasolina
Renault Logan Exclusive 2019,$41.500.000,2019,68.000,Plateado,Gasolina y gas
Renault Logan L,$40.500.000,2019,41.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$22.500.000,2013,139.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$30.000.000,2016,90.500,Rojo,Gasolina
Renault Logan 1.6 Privilege / Intens,$66.500.000,2023,10.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$49.000.000,2022,31.400,Gris,Gasolina
Renault Logan 1.6 Expression,$20.000.000,2008,252.000,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$27.000.000,2012,129.000,Rojo,Gasolina
Renault Logan 1.6 Dynamique,$33.500.000,2016,136.446,Plateado,Gasolina
Renault Logan 1.6 Life,$47.500.000,2023,20.900,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$40.000.000,2017,24.000,Gris,Gasolina
Renault Logan Dynamique,$26.000.000,2010,72.000,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$25.000.000,2012,224.230,Negro,Gasolina
Renault Logan 1.4 Entry Familier,$24.900.000,2011,102.500,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$29.950.000,2014,92.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2012,85.000,Negro,Gasolina
Renault Logan 1.6 Privilege,$59.000.000,2023,16.984,Gris,Gasolina
Renault Logan 1.6 Authentique,$36.000.000,2017,36.000,Gris,Gasolina y gas
Renault Logan 1.6 Authentique / Life,$35.500.000,2018,80.100,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$39.000.000,2020,70.000,Color not found,Gasolina
Renault Logan 1.6 Life,$44.000.000,2020,26.000,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$31.500.000,2015,64.000,Color not found,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.000.000,2015,171.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$46.900.000,2023,29.784,Gris,Gasolina
Renault Logan 1.6 Dynamique,$37.000.000,2016,65.000,Gris,Gasolina
Renault Logan 1.6 Expression Fii,$28.000.000,2015,122.000,Color not found,Gasolina
Renault Logan 1.6 Dynamique,$25.000.000,2007,189.000,Color not found,Gasolina
Renault Logan 1.6 Privilege / Intens,$34.000.000,2016,102.000,Color not found,Gasolina
Renault Logan 1.6 Privilege / Intens,$38.000.000,2016,49.500,Color not found,Gasolina
Renault Logan 1.4 Dynamique,$21.800.000,2007,119.500,Verde,Gasolina
Renault Logan 1.6 Privilege / Intens,$45.000.000,2020,60.000,Gris,Gasolina
Renault Logan 1.6 Life Polar,$38.000.000,2019,53.000,Plateado,Gasolina
Renault Logan,$35.000.000,2016,78.066,Rojo,Gasolina
Renault Logan Logan 1.6l,$27.000.000,2008,28.500,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,$20.500.000,2011,198.600,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$43.900.000,2023,28.000,Gris,Gasolina
Renault Logan Life+ Smart,$40.500.000,2019,44.500,Color not found,Gasolina
Renault Logan 1.4 Entry Familier,$22.000.000,2011,145.000,Color not found,Gasolina
Renault Logan 1.6 Privilege / Intens,$36.500.000,2018,92.000,Color not found,Gasolina
Renault Logan 1.6 Expression Fii,$23.000.000,2012,230.000,Color not found,Gasolina
Renault Logan 1.6 Expression Fii,$25.500.000,2012,144.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$36.000.000,2017,78.500,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$46.000.000,2021,40.000,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$28.500.000,2014,146.000,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$27.000.000,2013,156.886,Azul,Gasolina
Renault Logan autentique Eif 1.6 Authentique / Life,$38.000.000,2019,52.700,Rojo,Gasolina
Renault Logan 1.6 Dynamique,$35.000.000,2016,77.000,Gris,Gasolina
Renault Logan 1.6 Dynamique Fii,$25.500.000,2011,156.000,Gris,Gasolina
Renault Logan 1.6 Expression,$38.500.000,2019,36.000,Plateado,Gasolina
Renault Logan 1.6 Expression / Life +,$37.990.000,2020,57.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique Fii,$27.000.000,2011,75.550,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.000.000,2022,53.000,Gris,Gasolina
Renault Logan 1.6 Expression,$36.000.000,2017,141.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$36.000.000,2017,97.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique Nd,$24.900.000,2011,123.000,Azul,Gasolina
Renault Logan 1.6 Privilege / Intens,$44.000.000,2018,90.800,Marrón,Gasolina
