car_model,price,year_model,kms,color,fueltype
Renault Koleos 2.5 Dynamique 4x4,$44.900.000,2014,98.000,Blanco,Gasolina
Renault Logan 1.6 Dynamique,$52.400.000,2022,10.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$41.000.000,2018,28.000,Gris,Gasolina
Renault Logan LIFE EXPRESSION 1.6 MT,$39.900.000,2020,35.000,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$43.900.000,2022,37.000,Gris,Gasolina
Renault Logan LIFE + MT 1.6,$36.500.000,2019,38.000,Blanco,Gasolina
Renault Logan 1.4 Entry Familier,$21.000.000,2011,131.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$41.500.000,2019,37.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$18.500.000,2010,160.000,Negro,Gasolina
Renault Logan Life Mecánico  2023,$46.800.000,2023,33.000,Blanco,Gasolina
Renault Logan Zen 2023,$56.000.000,2023,18.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$61.000.000,2023,35.700,Plateado,Gasolina
Renault Logan 1.6 Expression / Life +,$54.490.000,2023,28.000,Plateado,Gasolina
Renault Logan 1.6 Authentique / Life,$36.000.000,2018,42.800,Negro,Gasolina
Renault Logan 1.6 Privilege / Intens,$36.900.000,2017,80.000,Gris,Gasolina
Renault Logan 1.6 Life Automatico,$49.500.000,2022,26.000,Gris,Gasolina
Renault Logan 1.6 Expression,$33.500.000,2016,79.000,Color not found,Gasolina
Renault Logan Plus 1.6,$50.888.800,2020,10,Blanco,Gasolina
Renault Logan Life Ph2 ,$43.500.000,2021,47.500,Color not found,Gasolina
Renault Logan 1.6 Life Plus,$65.990.000,2024,3.839,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$29.000.000,2015,107.000,Rojo,Gasolina
Renault Logan 2020 Version Polar ,$39.500.000,2020,65.000,Rojo,Gasolina
Renault Logan 1.6 Expression,$22.000.000,2008,180.000,Amarillo,Gasolina
Renault Logan 1.6 Expression / Life +,$35.000.000,2018,70.000,Negro,Gasolina
Renault Logan 1.6 Privilege / Intens,$52.000.000,2021,38.000,Rojo,Gasolina
Renault Logan 1.4 Familier,$30.200.000,2015,91.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$37.000.000,2019,66.213,Gris,Gasolina
Renault Logan 1.6 Dynamique Nd,$19.000.000,2011,93.000,Blanco,Gasolina
Renault Logan 1.6 Life,$53.000.000,2023,9.200,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.500.000,2018,105.000,Dorado,Gasolina
Renault Logan 1.6,$33.500.000,2018,59.800,Gris,Gasolina
"Renault Logan Expression Mec 1,6",$34.800.000,2016,70.184,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$48.500.000,2022,50.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$56.990.000,2023,19.500,Gris,Gasolina
Renault Logan Zen 2025 - Llévalo Con Excelente Precio!!,$68.990.000,2023,0,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2023,24.514,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$48.990.000,2022,31.000,Gris,Gasolina
Renault Logan Life+ Mt 1.6 16v A/a Gpy596,$47.990.000,2020,61.054,Rojo,Gasolina
Renault Logan 1.6 Expression / Life +,$40.900.000,2021,40.000,Gris,Gasolina
Renault New Logan Exclusive 1.6 Aut 2019 Eny691,$47.200.000,2019,79.052,Gris,Gasolina
Renault Logan 1.6 Intens,$64.900.000,2023,16.000,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$38.500.000,2018,67.828,Blanco,Gasolina
Renault Logan INTENS,$69.130.000,2024,0,Gris,Gasolina
Renault Logan 1.6 Life Plus,$56.900.000,2024,8.400,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$28.250.000,2015,107.000,Rojo,Gasolina
Renault Logan 1.6 Life,$43.900.000,2022,39.000,Gris,Gasolina
Renault Logan 1.6 Life,$44.300.000,2023,20.000,Blanco,Gasolina
Renault Logan 1.6 Expression / Life +,$35.900.000,2018,54.600,Gris,Gasolina
Renault Logan Zen Mt 1.600cc Gzx257,$52.990.000,2021,42.828,Rojo,Gasolina
Renault Logan Intens Cc1600 Automatico 114hp,$59.900.000,2023,19.699,Blanco,Gasolina
Renault Logan LIFE 1.6,$46.900.000,2022,41.261,Dorado,Gasolina
Renault Logan 1.6 Authentique / Life,$35.900.000,2018,53.800,Rojo,Gasolina
Renault Logan .,$55.900.000,2023,27.050,Blanco,Gasolina
Renault Logan Authentique / Life,$37.900.000,2020,85.720,Plateado,Gasolina
Renault Logan Life +,$41.000.000,2020,45.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$60.900.000,2023,17.500,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.000.000,2011,91.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$40.300.000,2022,56.000,Blanco,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.800.000,2014,134.000,Gris,Gasolina
Renault Logan Intens,$70.500.000,2024,38.000,Blanco,Gasolina
Renault Logan 1.6 Dynamique Nd,$20.000.000,2010,149.414,Negro,Gasolina
Renault Logan Dynamique Mt,$27.900.000,2013,87.325,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$26.500.000,2013,94.000,Blanco,Gasolina
Renault Logan Modelo 2022,$55.000.000,2022,72.000,Gris,Gasolina
Renault Logan Life Plus- 2025- Llevalo Con Excelente Precio!,$63.490.000,2023,0,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$60.900.000,2022,14.000,Plateado,Gasolina
Renault Logan 1.6 PRIVILEGE AUTOMATICO,$32.900.000,2016,99.700,Gris,Gasolina
Renault Logan LIFE 1.6,$46.900.000,2022,22.949,Gris,Gasolina
Renault Logan 1.6 Aa,$44.500.000,2023,28.000,Plateado,Gasolina
Renault Logan DYNAMIQUE 1.6 MT,$28.900.000,2013,99.686,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$26.900.000,2016,113.200,Color not found,Gasolina
Renault Logan 1.6 Life Plus,$62.390.000,2024,0,Blanco,Gasolina
Renault Logan Authentique Automatico,$36.800.000,2020,80.000,Plateado,Gasolina
Renault Logan 1.6 Zen ,$56.000.000,2022,14.796,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$35.500.000,2018,98.000,Blanco,Gasolina
Renault Logan 1.6 Intens,$63.900.000,2023,19.600,Blanco,Gasolina
Renault Logan LIFE 1.6,$49.400.000,2023,28.448,Blanco,Gasolina
"Renault Logan Life Mt 1,6",$46.900.000,2023,17.980,Dorado,Gasolina
Renault Logan 1.6 Expression,$54.900.000,2023,29.993,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.000.000,2019,77.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$35.900.000,2017,68.000,Gris,Gasolina
Renault Logan expresión 1.6 MT,$20.900.000,2008,185.000,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$25.000.000,2012,184.000,Gris,Gasolina
Renault Logan Dynamique Mt,$42.999.000,2019,67.500,Blanco,Gasolina
Renault Logan 1.6 Privilege,$31.000.000,2017,102.800,Gris,Gasolina
Renault Logan 1.4 Entry Familier Fii,$24.500.000,2013,227.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$37.000.000,2017,40.479,Negro,Gasolina
Renault Logan 1.4 Entry Familier Fii,$23.990.000,2012,153.000,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$37.900.000,2020,79.820,Plateado,Gasolina
Renault Logan Life Polar 2019,$36.000.000,2019,50.500,Blanco,Gasolina
Renault Logan Intens Mt 1.6 Kqz831,$51.990.000,2022,43.388,Gris,Gasolina
Renault Logan 1.6 Exclusive,$39.500.000,2018,92.550,Plateado,Gasolina
Renault Logan 1.4 Entry Familier Fii,$30.000.000,2015,133.634,Rojo,Gasolina
Renault Logan 1.6 Dynamique,$36.000.000,2018,46.000,Plateado,Gasolina
Renault Logan Zen,$54.900.000,2022,32.084,Gris,Gasolina
Renault Logan 1.6 life Mecanico,$45.900.000,2023,21.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$40.990.000,2017,98.000,Gris,Gasolina
Renault Logan AUTHENTIQUE LIFE,$36.900.000,2020,1,Gris,Gasolina
Logan Privilege At,$38.000.000,2017,99.729,Dorado,Gasolina
Logan Intense At ,$50.500.000,2019,52.903,Gris,Gasolina
